201  156808 |Loss: 0.004 | Acc: 99.943% 
201  156809 |Loss: 0.004 | Acc: 99.943% 
201  156810 |Loss: 0.004 | Acc: 99.943% 
201  156811 |Loss: 0.004 | Acc: 99.943% 
201  156812 |Loss: 0.004 | Acc: 99.943% 
201  156813 |Loss: 0.004 | Acc: 99.943% 
201  156814 |Loss: 0.004 | Acc: 99.943% 
201  156815 |Loss: 0.004 | Acc: 99.944% 
201  156816 |Loss: 0.004 | Acc: 99.944% 
201  156817 |Loss: 0.004 | Acc: 99.944% 
201  156818 |Loss: 0.004 | Acc: 99.944% 
201  156819 |Loss: 0.004 | Acc: 99.944% 
201  156820 |Loss: 0.004 | Acc: 99.944% 
201  156821 |Loss: 0.004 | Acc: 99.944% 
201  156822 |Loss: 0.004 | Acc: 99.944% 
201  156823 |Loss: 0.004 | Acc: 99.945% 
201  156824 |Loss: 0.004 | Acc: 99.945% 
201  156825 |Loss: 0.004 | Acc: 99.945% 
201  156826 |Loss: 0.004 | Acc: 99.945% 
201  156827 |Loss: 0.004 | Acc: 99.945% 
201  156828 |Loss: 0.004 | Acc: 99.945% 
201  156829 |Loss: 0.004 | Acc: 99.945% 
201  156830 |Loss: 0.004 | Acc: 99.945% 
201  156831 |Loss: 0.004 | Acc: 99.946% 
201  156832 |Loss: 0.004 | Acc: 99.939% 
201  156833 |Loss: 0.004 | Acc: 99.939% 
201  156834 |Loss: 0.004 | Acc: 99.939% 
201  156835 |Loss: 0.004 | Acc: 99.939% 
201  156836 |Loss: 0.004 | Acc: 99.939% 
201  156837 |Loss: 0.004 | Acc: 99.939% 
201  156838 |Loss: 0.004 | Acc: 99.939% 
201  156839 |Loss: 0.004 | Acc: 99.939% 
201  156840 |Loss: 0.004 | Acc: 99.940% 
201  156841 |Loss: 0.004 | Acc: 99.940% 
201  156842 |Loss: 0.004 | Acc: 99.940% 
201  156843 |Loss: 0.004 | Acc: 99.940% 
201  156844 |Loss: 0.004 | Acc: 99.940% 
201  156845 |Loss: 0.004 | Acc: 99.940% 
201  156846 |Loss: 0.004 | Acc: 99.940% 
201  156847 |Loss: 0.004 | Acc: 99.941% 
201  156848 |Loss: 0.004 | Acc: 99.941% 
201  156849 |Loss: 0.004 | Acc: 99.941% 
201  156850 |Loss: 0.004 | Acc: 99.941% 
201  156851 |Loss: 0.004 | Acc: 99.941% 
201  156852 |Loss: 0.004 | Acc: 99.941% 
201  156853 |Loss: 0.004 | Acc: 99.941% 
201  156854 |Loss: 0.004 | Acc: 99.941% 
201  156855 |Loss: 0.004 | Acc: 99.942% 
201  156856 |Loss: 0.004 | Acc: 99.942% 
201  156857 |Loss: 0.004 | Acc: 99.942% 
201  156858 |Loss: 0.004 | Acc: 99.942% 
201  156859 |Loss: 0.004 | Acc: 99.942% 
201  156860 |Loss: 0.004 | Acc: 99.939% 
201  156861 |Loss: 0.004 | Acc: 99.939% 
201  156862 |Loss: 0.004 | Acc: 99.939% 
